hole_number,depth_from,depth_to,CLV
VGA4-GT-R00030,0,0.5,INF
VGA4-GT-R00030,0.5,8,ICTF
VGA4-GT-R00030,51.6,65.2,IGOS
VGA4-GT-R00029,29.65,40.15,IGOF
VGA4-GT-R00029,40.15,52.8,IF
VGA4-GT-R00029,52.8,80,IF
VGA4-GT-R00028,24.7,27.2,IGOF
VGA4-GT-R00028,44.5,49.85,ICTS
VGA4-GT-R00028,49.85,55,IGOF
VGA4-GT-R00027,0,26.65,IF
VGA4-GT-R00027,26.65,50.25,IF
VGA4-GT-R00027,50.25,76.95,IGOF
VGA4-GT-R00027,76.95,100.15,FGF
VGA4-GT-R00026,0,25.8,FLF
VGA4-GT-R00026,25.8,31.45,IF
VGA4-GT-R00026,31.45,44.55,IF
VGA4-GT-R00026,44.55,46.45,IGOF
VGA4-GT-R00026,46.45,47.95,SR
VGA4-GT-R00026,47.95,50,IGOF
VGA4-GT-R00025,0,7.7,ICTF
VGA4-GT-R00025,7.7,17.2,IF
VGA4-GT-R00024,0,7.55,IGOF
VGA4-GT-R00024,7.55,33.35,IF
VGA4-GT-R00024,33.35,53.6,IS
VGA4-GT-R00023,0,12.95,IGOF
VGA4-GT-R00023,12.95,19.3,IS
VGA4-GT-R00022,0,24,IF
VGA4-GT-R00022,24,33.2,IS
VGA4-GT-R00022,33.2,42.3,IGOF
VGA4-GT-R00022,42.3,50,IF
VGA4-GT-R00021,0,18.15,IC
VGA4-GT-R00021,18.15,26.55,IS
VGA4-GT-R00021,26.55,68.4,IMNF
VGA4-GT-R00021,68.4,82.55,IF
VGA4-GT-R00021,82.55,94.9,IF
VGA4-GT-R00021,94.9,100,IGOF
VGA4-GT-R00020,0,14.9,IGOF
VGA4-GT-R00020,14.9,22.8,IF
VGA4-GT-R00020,37.55,50.45,IF
VGA4-GT-R00019,0,5.45,ICTF
VGA4-GT-R00019,5.45,50.55,ICTS
VGA4-GT-R00018,74.1,81.6,IGOF
VGA4-GT-R00018,81.6,93.5,ICTF
VGA4-GT-R00018,93.5,96.85,IGOF
VGA4-GT-R00018,96.85,100.65,ICTF
VGA4-GT-R00017,32.1,50,ICTC
VGA4-GT-R00016,0,4.8,CG
VGA4-GT-R00016,4.8,16.85,IGOF
VGA4-GT-R00016,67.8,77.95,IMNF
VGA4-GT-R00016,77.95,100,ICTF
VGA4-GT-R00015,0,13.5,ICTF
VGA4-GT-R00015,13.5,26.25,INF
VGA4-GT-R00015,79,93.2,IMNF
VGA4-GT-R00015,93.2,96,INF
VGA4-GT-R00015,96,100,ICTF
VGA4-GT-R00014,0,6.7,AT
VGA4-GT-R00010,6.5,12.75,IS
VGA4-GT-R00010,17.15,26.85,IS
VGA4-GT-R00009,0,18.5,ICTS
VGA4-GT-R00009,18.5,19.3,IC
VGA4-GT-R00009,19.3,54.55,ICTF
VGA4-GT-R00009,54.55,60,ICTC
VGA4-GT-R00008,0,36.9,ICTF
VGA4-GT-R00008,36.9,48.55,ICTS
VGA4-GT-R00008,48.55,60,IC
VGA4-GT-R00007,8.3,13.3,ICTS
VGA4-GT-R00007,13.3,31,ICTF
VGA4-GT-R00007,31,31.25,INF
VGA4-GT-R00007,43.1,45.1,SR
VGA4-GT-R00007,45.1,50,INF
VGA4-GT-R00006,0,50,ICTF
VGA4-GT-R00002,0,28,ICTF
VGA4-GT-R00002,28,33.6,ICTC
VGA4-GT-R00002,33.6,36.6,IGOF
VGA4-GT-R00002,36.6,60,ICTS
VGA4-GT-D00006,0,9.55,IF
VGA4-GT-D00006,57,60,INF
VGA4-GT-D00006,60,64.9,IGOF
VGA4-GT-D00006,64.9,70.5,INF
VGA4-GT-D00006,70.5,74.5,FLF
VGA4-GT-D00006,74.5,85.35,FGF
VGA4-GT-D00003,23.45,37,ICTS
VGA4-GT-D00003,37,57.65,ICTS
VGA4-GT-D00003,57.65,62.25,IGOS
VGA4-GT-D00003,62.25,68.3,INS
VGA4-GT-D00003,68.3,71.25,IC
VGA4-GT-D00003,71.25,75.6,IGOS
VGA4-GT-D00003,75.6,80.15,INS
VGA4-GT-D00003,80.15,83.4,ICTF
VGA4-GT-D00003,83.4,102.1,FGF
VGA4-GT-D00002,0,5.3,IF
VGA4-GT-D00002,104.6,108.2,ICTS
VGA4-GT-D00002,139.9,141.1,INF
VGA4-GT-D00002,153.3,154.05,IGOF
VGA4-GT-D00002,166.3,167.6,INF
VGA4-GT-D00002,244.35,247.3,IGOF
VGA4-GT-D00002,312.1,312.65,INF
VGA4-GT-D00002,329,332.25,INF
VGA4-GT-D00002,350,350.8,INF
VGA4-GT-D00002,350.8,352.2,FLC
VGA4-GT-D00002,352.2,355.05,INF
VGA4-GT-D00002,355.05,358.5,FLC
VGA4-GT-D00002,358.5,359.6,INF
VGA4-GT-D00002,359.6,362.55,FLS
VGA4-GT-D00002,362.55,363.45,INF
VGA4-GT-D00002,363.45,364.2,FLS
VGA4-GT-D00002,364.2,365.85,INF
VGA4-GT-D00002,365.85,367.9,FLC
VGA4-GT-D00002,367.9,369.45,INF
VGA4-GT-D00002,369.45,372.2,FLC
VGA4-GT-D00002,372.2,380,FLC
VGA4-GT-D00001,23.25,34.5,IS
VGA4-GT-D00001,102,110.4,IGOF
VGA4-GT-D00001,110.4,110.7,INF
VGA4-GT-D00001,110.7,125.5,ICTF
VGA4-GT-D00001,125.5,130.15,IGOF
UJRN43I-0537,0,64,HF
UJRN43I-0535,0,53.05,MSD
UJRN43I-0535,53.05,54.05,MS
UJRN43I-0535,54.05,90.05,MS
UJRN43I-0534,0,62.18,MD
UJRN43I-0533,0,61.55,HF
UJRN43I-0533,61.55,65.13,JPS
UJRJP0562,0,15,AT
UJRJP0562,15,47.45,IF
UJRJP0562,47.45,57.5,IS
UJRJP0527,0,8.55,IF
UJRJP0527,8.55,23.1,IF
UJRJP0527,23.1,30.8,HF
UJRJP0527,30.8,76.5,IF
UJRD7P0212,0,1.2,AT
UJRD7P0212,1.2,13.8,IF
UJRD7P0212,13.8,25.25,IMNF
UJRD7P0212,25.25,42.1,QFF
UJRD7P0211,0,30,IARF
UJRD7P0208,0,32.2,IMNF
UJRD7P0205,0,7.15,HMNF
UJRD7P0205,7.15,30,IMNF
UJRD7P0204,0,5.2,AT
UJRD7P0204,5.2,43.65,QFF
UJRD7P0204,43.65,48.9,ICTF
UJRD7P0204,48.9,53.2,QFF
UJRD7P0202,0,5,IF
UJRD7P0202,5,10.35,HF
UJRD7P0202,10.35,23.5,HMNF
UJRD7P0202,23.5,45,HF
UJRA4D0070,0,82.4,DT
UJRA4D0070,82.4,106.1,IF
UJRA4D0069,0,3.7,AT
UJRA4D0069,3.7,11.25,XTF
UJRA4D0069,11.25,26.1,HC
UJRA4D0069,26.1,35.7,IF
UJRA4D0069,35.7,56.1,XTF
UJRA4D0069,56.1,64.5,INF
UJRA4D0068,0,5.35,AT
UJRA4D0068,5.35,30.9,IF
UJRA4D0068,30.9,73.45,BRS
UJRA4D0068,73.45,85.3,BRF
UJRA4D0068,85.3,92.35,BRS
UJRA4D0068,92.35,94.45,FLF
UJRA4D0067,0,5.35,AT
UJRA4D0067,5.35,15.6,FLF
UJRA4D0067,15.6,30.8,INF
UJRA4D0066,0,3.85,AT
UJRA4D0066,3.85,6.6,XTF
UJRA4D0066,6.6,14,HF
UJRA4D0066,14,20.85,IF
UJRA4D0066,20.85,34.7,BRF
UJRA4D0066,34.7,44.8,IF
UJRA4D0066,44.8,47.7,FLF
UJRA4D0066,47.7,61.1,IMNF
UJRA4D0066,61.1,64,FLF
UJRA4D0066,87.5,96,QFF
UJRA4D0066,96,113,IF
UJRA4D0066,125.3,130,QFF
UJRA4D0065,0,4.95,AT
UJRA4D0065,4.95,10.1,HCTF
UJRA4D0065,10.1,28.5,HF
UJRA4D0065,28.5,47.45,IARF
UJRA4D0065,47.45,57.75,BRF
UJRA4D0064,0,10.85,AT
UJRA4D0064,10.85,22.4,IF
UJRA4D0064,22.4,40.45,BRF
UJRA4D0064,40.45,82.4,IF
UJRA4D0063,8.55,12.15,INF
UJRA4D0063,12.15,17.25,FLF
UJRA4D0063,17.25,25.35,INF
UJRA4D0063,25.35,62.75,FLF
UJRA4D0062,0,3.3,AT
UJRA4D0062,3.3,33.6,FLF
UJRA4D0061,0,7.75,AT
UJRA4D0061,7.75,30,INF
UJRA4D0060,0,4.05,CG
UJRA4D0060,4.05,31.85,HF
UJRA4D0051,0,3.2,AT
UJRA4D0051,3.2,12.5,LTF
UJRA4D0051,12.5,24.2,IARF
UJRA4D0051,24.2,80.2,IF
UJRA4D0051,80.2,85.05,IC
UJRA4D0051,85.05,98.3,BRF
UJRA4D0051,98.3,115.35,IS
UJRA4D0051,115.35,117.7,INF
UJRA4D0051,117.7,126.3,IMNF
UJN5N-GT-J00007,0,1.3,AT
UJN5N-GT-J00007,1.3,5.25,IF
UJN5N-GT-J00007,5.25,6.75,SR
UJN5N-GT-J00007,6.75,13.7,ICTF
UJN5N-GT-J00007,13.7,15.2,SR
UJN5N-GT-J00007,15.2,29.05,INF
UJN5N-GT-J00007,61.55,73.6,INF
UJN5N-GT-J00007,99.3,103.6,INF
UJN5N-GT-J00007,103.6,109.7,INF
UJN5N-GT-J00007,125.7,179.8,INF
UJN5N-GT-J00007,179.8,191.8,INF
UJN5N-GT-J00007,191.8,193.3,SR
UJN5N-GT-J00007,193.3,193.55,INF
UJN5N-GT-J00007,193.55,195.05,SR
UJN5N-GT-J00007,195.05,200,INF
UJN5N-GT-J00006,0,16.3,FLF
UJN5N-GT-J00006,16.3,29.55,QFF
UJN5N-GT-J00006,29.55,37.35,QZC
UJN5N-GT-J00006,37.35,49.5,QZF
UJN5N-GT-J00006,49.5,57.65,FLF
UJN5N-GT-J00006,70.95,76,QFF
UJN5N-GT-J00006,76,78.9,QFC
UJN5N-GT-J00006,78.9,82.25,QFF
UJN5N-GT-J00006,82.25,96.9,QZF
UJN5N-GT-J00006,103.45,105.35,QZF
UJN5N-GT-J00006,115.45,118.5,QZS
UJN5N-GT-J00006,118.5,120.3,QZF
UJN5N-GT-J00006,120.3,125.4,QZC
UJN5N-GT-J00006,125.4,130.1,QFC
UJN5N-GT-J00005,0,16.1,QZF
UJN5N-GT-J00005,16.1,19.1,SR
UJN5N-GT-J00005,71.4,77.9,QZF
UJN5N-GT-J00005,115.45,119.1,QZS
UJN5N-GT-J00005,119.1,123.55,QZS
UJN5N-GT-J00005,184.95,189.2,ICTC
UJN5N-GT-J00005,189.2,195.1,QZC
UJN5N-GT-J00004,0,1.45,AT
UJN5N-GT-J00004,1.45,10.4,FLF
UJN5N-GT-J00004,10.4,18,QFF
UJN5N-GT-J00004,18,34.85,FLF
UJN5N-GT-J00004,34.85,54.45,QFF
UJN5N-GT-J00004,89,93.2,QFC
UJN5N-GT-J00004,93.2,97.05,QZS
UJN5N-GT-J00004,97.05,99.25,QZC
UJN5N-GT-J00004,99.25,102.15,QZF
UJN5N-GT-J00004,114.9,130.95,QZF
UJN5N-GT-J00004,145.4,149.15,FLS
UJN5N-GT-J00004,166.6,172.05,QZF
UJN5N-GT-J00004,179.35,200,QFF
UJN5N-GT-J00003,0,3.3,AT
UJN5N-GT-J00003,3.3,9.9,ICTF
UJN5N-GT-J00003,43.3,107.25,IGOF
UJN5N-GT-J00003,107.25,108.4,VQ
UJN5N-GT-J00003,108.4,111.2,IGOF
UJN5N-GT-J00003,111.2,120.5,IF
UJN5N-GT-J00003,120.5,136.3,IGOF
UJN5N-GT-J00003,136.3,139.3,IF
UJN5N-GT-J00003,139.3,140.8,SR
UJN5N-GT-J00003,140.8,149.7,IF
UJN5N-GT-J00003,149.7,152.65,IF
UJN5N-GT-J00003,152.65,168.55,IF
UJN5N-GT-J00003,168.55,176.9,IF
UJN5N-GT-J00003,176.9,189.1,IF
UJN5N-GT-J00003,189.1,194.85,IS
